DATE,MinTemp,MaxTemp,AvgTemp
5/14/2015,31,49,40
5/15/2015,32,52,42
5/16/2015,33,56,45
5/17/2015,38,60,49
5/18/2015,38,58,48
5/19/2015,39,55,47
5/20/2015,39,54,47
5/21/2015,37,55,46
5/22/2015,39,59,49
5/23/2015,41,55,48
5/24/2015,39,59,49
5/25/2015,42,62,52
5/26/2015,43,64,54
5/27/2015,44,57,51
5/28/2015,43,60,52
5/29/2015,44,62,53
5/30/2015,41,54,48
5/31/2015,39,52,46
06-01-2015,38,54,46
06-02-2015,41,56,49
06-03-2015,41,55,48
06-04-2015,39,55,47
06-05-2015,37,53,45
06-06-2015,36,55,46
06-07-2015,40,54,47
06-08-2015,38,56,47
06-09-2015,38,53,46
06-10-2015,37,49,43
06-11-2015,34,46,40
06-12-2015,32,50,41
6/13/2015,39,52,46
6/14/2015,42,57,50
6/15/2015,41,63,52
6/16/2015,48,61,55
6/17/2015,46,65,56
6/18/2015,45,67,56
6/19/2015,43,61,52
6/20/2015,43,60,52
6/21/2015,45,60,53
6/22/2015,45,59,52
6/23/2015,46,65,56
6/24/2015,42,60,51
6/25/2015,42,59,51
6/26/2015,42,57,50
6/27/2015,38,56,47
6/28/2015,42,55,49
6/29/2015,40,56,48
6/30/2015,40,56,48
07-01-2015,37,54,46
07-02-2015,38,54,46
07-03-2015,38,56,47
07-04-2015,39,56,48
07-05-2015,41,59,50
07-06-2015,43,60,52
07-07-2015,39,55,47
07-08-2015,40,53,47
07-09-2015,38,55,47
07-10-2015,40,55,48
07-11-2015,46,60,53
07-12-2015,46,58,52
7/13/2015,45,57,51
7/14/2015,45,60,53
7/15/2015,44,66,55
7/16/2015,43,59,51
7/17/2015,41,54,48
7/18/2015,39,56,48
7/19/2015,43,56,50
7/20/2015,40,51,46
7/21/2015,37,49,43
7/22/2015,37,52,45
7/23/2015,39,59,49
7/24/2015,43,59,51
7/25/2015,45,56,51
7/26/2015,42,58,50
7/27/2015,44,55,50
7/28/2015,40,55,48
7/29/2015,46,62,54
7/30/2015,48,64,56
7/31/2015,45,63,54
08-01-2015,46,66,56
08-02-2015,45,52,49
08-03-2015,44,51,48
08-04-2015,40,54,47
08-05-2015,43,56,50
08-06-2015,41,54,48
08-07-2015,41,59,50
08-08-2015,43,64,54
08-09-2015,43,63,53
08-10-2015,40,59,50
08-11-2015,39,55,47
08-12-2015,40,55,48
8/13/2015,40,56,48
8/14/2015,44,56,50
8/15/2015,41,53,47
8/16/2015,41,52,47
8/17/2015,42,53,48
8/18/2015,40,52,46
8/19/2015,39,52,46
8/20/2015,38,51,45
8/21/2015,42,65,54
8/22/2015,46,59,53
8/23/2015,45,57,51
8/24/2015,43,48,46
8/25/2015,42,52,47
8/26/2015,42,55,49
8/27/2015,41,57,49
8/28/2015,43,59,51
8/29/2015,42,59,51
8/30/2015,42,56,49
8/31/2015,41,55,48
09-01-2015,42,60,51
09-02-2015,43,52,48
09-03-2015,42,52,47
09-04-2015,40,53,47
09-05-2015,39,54,47
09-06-2015,41,54,48
09-07-2015,42,53,48
09-08-2015,41,59,50
09-09-2015,46,60,53
09-10-2015,42,56,49
09-11-2015,42,59,51
09-12-2015,41,56,49
9/13/2015,43,62,53
9/14/2015,42,62,52
9/15/2015,40,57,49
9/16/2015,39,54,47
9/17/2015,38,53,46
9/18/2015,38,54,46
9/19/2015,39,55,47
9/20/2015,41,58,50
9/21/2015,43,54,49
9/22/2015,39,54,47
9/23/2015,37,54,46
9/24/2015,38,55,47
9/25/2015,39,54,47
9/26/2015,42,53,48
9/27/2015,39,54,47
9/28/2015,39,53,46
9/29/2015,38,52,45
9/30/2015,39,60,50
10-01-2015,39,57,48
10-02-2015,39,57,48
10-03-2015,43,63,53
10-04-2015,45,57,51
10-05-2015,42,58,50
10-06-2015,39,54,47
10-07-2015,41,62,52
10-08-2015,41,60,51
10-09-2015,40,58,49
10-10-2015,41,56,49
10-11-2015,43,60,52
10-12-2015,40,58,49
10/13/2015,39,56,48
10/14/2015,38,58,48
10/15/2015,39,54,47
10/16/2015,42,60,51
10/17/2015,42,54,48
10/18/2015,40,58,49
10/19/2015,41,58,50
10/20/2015,40,57,49
10/21/2015,41,54,48
10/22/2015,40,55,48
10/23/2015,38,56,47
10/24/2015,42,57,50
10/25/2015,45,60,53
10/26/2015,44,63,54
10/27/2015,42,63,53
10/28/2015,44,57,51
10/29/2015,38,53,46
10/30/2015,42,54,48
10/31/2015,42,61,52
11-01-2015,41,57,49
11-02-2015,40,59,50
11-03-2015,43,57,50
11-04-2015,42,58,50
11-05-2015,40,60,50
11-06-2015,41,59,50
11-07-2015,42,60,51
11-08-2015,39,58,49
11-09-2015,37,52,45
11-10-2015,35,51,43
11-11-2015,37,53,45
11-12-2015,38,49,44
11/13/2015,37,49,43
11/14/2015,36,52,44
11/15/2015,36,51,44
11/16/2015,35,52,44
11/17/2015,37,56,47
11/18/2015,36,53,45
11/19/2015,43,56,50
11/20/2015,43,51,47
11/21/2015,41,53,47
11/22/2015,42,58,50
11/23/2015,42,55,49
11/24/2015,42,53,48
11/25/2015,38,55,47
11/26/2015,40,56,48
11/27/2015,41,58,50
11/28/2015,39,54,47
11/29/2015,40,58,49
11/30/2015,44,60,52
12-01-2015,43,60,52
12-02-2015,40,61,51
12-03-2015,42,57,50
12-04-2015,42,56,49
12-05-2015,39,58,49
12-06-2015,39,63,51
12-07-2015,45,63,54
12-08-2015,44,60,52
12-09-2015,41,56,49
12-10-2015,39,54,47
12-11-2015,42,53,48
12-12-2015,39,55,47
12/13/2015,36,52,44
12/14/2015,36,54,45
12/15/2015,33,49,41
12/16/2015,35,53,44
12/17/2015,37,54,46
12/18/2015,38,53,46
12/19/2015,34,46,40
12/20/2015,35,49,42
12/21/2015,35,47,41
12/22/2015,34,51,43
12/23/2015,33,46,40
12/24/2015,32,49,41
12/25/2015,35,48,42
12/26/2015,35,49,42
12/27/2015,35,50,43
12/28/2015,35,45,40
12/29/2015,31,49,40
12/30/2015,36,52,44
12/31/2015,40,56,48
01-01-2016,38,57,48
01-02-2016,35,54,45
01-03-2016,39,54,47
01-04-2016,37,53,45
01-05-2016,34,51,43
01-06-2016,36,56,46
01-07-2016,37,58,48
01-08-2016,37,54,46
01-09-2016,40,54,47
01-10-2016,39,53,46
01-11-2016,37,57,47
01-12-2016,39,54,47
1/13/2016,37,59,48
1/14/2016,40,60,50
1/15/2016,40,56,48
1/16/2016,38,54,46
1/17/2016,37,56,47
1/18/2016,41,55,48
1/19/2016,40,60,50
1/20/2016,42,58,50
1/21/2016,42,57,50
1/22/2016,41,59,50
1/23/2016,39,59,49
1/24/2016,38,55,47
1/25/2016,35,54,45
1/26/2016,39,58,49
1/27/2016,37,59,48
1/28/2016,44,62,53
1/29/2016,49,64,57
1/30/2016,45,62,54
1/31/2016,41,59,50
02-01-2016,36,54,45
02-02-2016,38,52,45
02-03-2016,38,55,47
02-04-2016,40,58,49
02-05-2016,37,58,48
02-06-2016,36,57,47
02-07-2016,33,47,40
02-08-2016,31,53,42
02-09-2016,37,53,45
02-10-2016,35,55,45
02-11-2016,38,54,46
02-12-2016,41,59,50
2/13/2016,43,60,52
2/14/2016,42,60,51
2/15/2016,38,58,48
2/16/2016,37,59,48
2/17/2016,44,57,51
2/18/2016,38,57,48
2/19/2016,36,57,47
2/20/2016,37,59,48
2/21/2016,39,61,50
2/22/2016,43,60,52
2/23/2016,45,63,54
2/24/2016,45,62,54
2/25/2016,39,53,46
2/26/2016,36,53,45
2/27/2016,36,59,48
2/28/2016,36,55,46
2/29/2016,37,60,49
03-01-2016,40,60,50
03-02-2016,39,61,50
03-03-2016,44,57,51
03-04-2016,42,58,50
03-05-2016,39,56,48
03-06-2016,37,60,49
03-07-2016,40,58,49
03-08-2016,43,66,55
03-09-2016,40,60,50
03-10-2016,37,57,47
03-11-2016,36,52,44
03-12-2016,36,54,45
3/13/2016,38,53,46
3/14/2016,40,54,47
3/15/2016,36,52,44
3/16/2016,38,51,45
3/17/2016,34,55,45
3/18/2016,35,53,44
3/19/2016,36,55,46
3/20/2016,38,54,46
3/21/2016,36,55,46
3/22/2016,35,52,44
3/23/2016,34,46,40
3/24/2016,33,47,40
3/25/2016,31,51,41
3/26/2016,34,50,42
3/27/2016,38,56,47
3/28/2016,42,60,51
3/29/2016,43,61,52
